% Model:              3_full.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 11 2023, 13:59
% Table:              Eigenfrequencies (Long wire) - 
% d_t_1                                           d_t_2                                             d_beam_w                                          Frequency (Hz)                                    Quality factor for eigenvalue (1)                 abs(solid.Qted) (W)
4                                                 3.000000000000048                                 8.999999999999895                                 146854.4771408536+4.079158502972032i              18000.584806136718                                2.8120680143768286E-15
4                                                 3.000000000000048                                 8.999999999999895                                 293735.07819360774+8.15917952758185i              18000.282822595113                                1.5073697740196053E-14
4                                                 3.000000000000048                                 8.999999999999895                                 440678.2766464134+12.24110603079269i              17999.937078311934                                4.260393846502579E-14
4                                                 3.000000000000048                                 8.999999999999895                                 587715.4346649741+16.349427489097412i             17973.5784343797                                  8.345985256001422E-14
4                                                 5.000000000000078                                 5.000000000000078                                 146879.68607722555+4.07988518051442i              18000.468098799105                                2.82446697382928E-15
4                                                 5.000000000000078                                 5.000000000000078                                 293785.86117296625+8.163290451416911i             17994.328568939472                                1.511845197224162E-14
4                                                 5.000000000000078                                 5.000000000000078                                 440755.1825519109+12.23797196257264i              18007.68885154613                                 4.26564661873789E-14
4                                                 5.000000000000078                                 5.000000000000078                                 587820.7981386478+16.534077629522503i             17776.03841320695                                 8.549783132575284E-14
4                                                 5.000000000000138                                 7.00000000000019                                  146860.11878880506+4.079338699466584i             18000.48115740066                                 2.815859605419391E-15
4                                                 5.000000000000138                                 7.00000000000019                                  293746.4539983412+8.157186796699891i              18005.3774247991                                  1.5088400743147E-14
4                                                 5.000000000000138                                 7.00000000000019                                  440695.86774627864+12.246249049755463i            17993.095924955367                                4.261920788315155E-14
4                                                 5.000000000000138                                 7.00000000000019                                  587737.1930328599+16.21841448448097i              18119.44051606485                                 7.881754843355263E-14
4                                                 5.000000000000126                                 8.999999999999902                                 146851.75477964108+4.078982376948852i             18001.02834588429                                 2.8110196258395883E-15
4                                                 5.000000000000126                                 8.999999999999902                                 293727.48908331164+8.159152216568582i             17999.878007353043                                1.5068844922015583E-14
4                                                 5.000000000000126                                 8.999999999999902                                 440666.6885020093+12.252539686552135i             17982.66725818823                                 4.2592660617254047E-14
4                                                 5.000000000000126                                 8.999999999999902                                 587700.6270276434+15.866591605174849i             18520.06535656859                                 7.753514990555146E-14
4                                                 6.9999999999999645                                5.000000000000071                                 146878.92955714295+4.079802493739376i             18000.740205260066                                2.824167519548047E-15
4                                                 6.9999999999999645                                5.000000000000071                                 293784.12559090205+8.160589327128514i             18000.178284566824                                1.5116997726123754E-14
4                                                 6.9999999999999645                                5.000000000000071                                 440751.63431935996+12.243080234568732i            18000.030461079576                                4.2653253863325356E-14
4                                                 6.9999999999999645                                5.000000000000071                                 587813.3780271298+16.328262261300875i             17999.87557219429                                 8.734748647677464E-14
4                                                 7.0000000000001235                                7.0000000000001235                                146857.14822418476+4.079398712543808i             17999.852254282185                                2.8155142986726822E-15
4                                                 7.0000000000001235                                7.0000000000001235                                293743.80931452423+8.159336435332333i             18000.47170763353                                 1.5086449254383765E-14
4                                                 7.0000000000001235                                7.0000000000001235                                440692.24847765407+12.24203115735251i             17999.14747860194                                 4.26158762585327E-14
4                                                 7.0000000000001235                                7.0000000000001235                                587734.6326185133+15.915077629878683i             18464.711460631115                                7.950047869446941E-14
4                                                 7.000000000000571                                 9.000000000000277                                 146847.06179214662+4.079399800865008i             17998.611187977254                                2.8105863807439842E-15
4                                                 7.000000000000571                                 9.000000000000277                                 293724.68233704346+8.15959759146384i              17998.723530456333                                1.5067403467502098E-14
4                                                 7.000000000000571                                 9.000000000000277                                 440663.2194346066+12.23768498931129i              18004.353757247354                                4.259066863070229E-14
4                                                 7.000000000000571                                 9.000000000000277                                 587696.0234191472+14.79108611874707i              19866.5608022617                                  7.652545249719716E-14
