Beam length (um)                                  Beam width (nm)                                   Thickness_1 (nm)                                  Thickness_2 (nm)                                  Temperature (K)                                   Distance (nm)                                     Gate voltage (V)                                  Eigenfrequency (Hz)                               Quality factor                                    Effective mass (kg)                               Noise (kg^2/s^3)                                  TED (W)
106.62684731595104                                507.0887037786543                                 149.99999999996095                                38.650821354232676                                9.013168404477124                                 564.3171866423007                                 38.27284498652104                                 4601343.542867442+75.62419335107997i              30422.430567331343                                1.4389328850496378E-14                            9.528376553061044E-26                             1.3798022296432944E-11
106.62684731595104                                507.0887037786543                                 149.99999999996095                                38.650821354232676                                9.013168404477124                                 564.3171866423007                                 38.27284498652104                                 6433479.495478389+105.74740085410878i             30419.090415060997                                1.4437532859251234E-14                            1.3368426909064661E-25                            1.6271093079150383E-11
371.7556566570935                                 861.4861399635114                                 150.00000000006085                                17.823649076744573                                35.84529499517523                                 583.0829728396344                                 6.620352653322839                                 346903.59844648617+3.3557493600229336i            51687.9482388371                                  7.810252141206511E-14                             7.508355518624713E-27                             8.524184485579583E-12
371.7556566570935                                 861.4861399635114                                 150.00000000006085                                17.823649076744573                                35.84529499517523                                 583.0829728396344                                 6.620352653322839                                 699578.9488873201+6.767571989218394i              51686.11061710327                                 7.826943382135338E-14                             1.517453298589976E-26                             2.2213343500534696E-11
371.7556566570935                                 861.4861399635114                                 150.00000000006085                                17.823649076744573                                35.84529499517523                                 583.0829728396344                                 6.620352653322839                                 1063606.8807502564+10.289719159767714i            51682.98882778865                                 7.850764774996856E-14                             2.3142258711934445E-26                            2.86240996436912E-11
371.7556566570935                                 861.4861399635114                                 150.00000000006085                                17.823649076744573                                35.84529499517523                                 583.0829728396344                                 6.620352653322839                                 1444212.729000549+13.97328432248272i              51677.64054859358                                 7.8739275655566E-14                               3.15195616338078E-26                              3.4516731801155805E-11
75.21067813577228                                 242.58282005323568                                200.00000000005602                                48.52572614326464                                 0.26944207835781886                               773.5348461193933                                 23.096675677462024                                1975168.9294577795+67.85210277517744i             14554.95739021038                                 6.442763251881366E-15                             2.2999328951165465E-27                            7.986237540852453E-13
75.21067813577228                                 242.58282005323568                                200.00000000005602                                48.52572614326464                                 0.26944207835781886                               773.5348461193933                                 23.096675677462024                                3996219.159950953+137.28045128662038i             14554.946179510203                                6.465125872512469E-15                             4.6694460678709535E-27                            2.2576224191953703E-12
75.21067813577228                                 242.58282005323568                                200.00000000005602                                48.52572614326464                                 0.26944207835781886                               773.5348461193933                                 23.096675677462024                                6106861.731864179+209.78669059852382i             14554.931283860418                                6.493940977994879E-15                             7.167471088313795E-27                             4.2678675858156106E-12
75.21067813577228                                 242.58282005323568                                200.00000000005602                                48.52572614326464                                 0.26944207835781886                               773.5348461193933                                 23.096675677462024                                8346915.706335231+286.7391293378965i              14554.894767254205                                6.5163397408457186E-15                            9.830381261718934E-27                             6.624590765070657E-12
20.38646739232456                                 869.4951746847239                                 99.99999999999291                                 41.06741381808966                                 0.17100075872756187                               763.9446971936849                                 0.5309737969654992                                1.9214668496640895E7+184.1620048680891i           52167.84132644478                                 2.9773650025291857E-15                            2.4918360618551082E-26                            8.723664406365873E-12
20.38646739232456                                 869.4951746847239                                 99.99999999999291                                 41.06741381808966                                 0.17100075872756187                               763.9446971936849                                 0.5309737969654992                                4.9705603287335314E7+476.4298577392599i           52164.660211672905                                3.274981931913968E-15                             7.090799940685544E-26                             9.253678543181708E-12
20.38646739232456                                 869.4951746847239                                 99.99999999999291                                 41.06741381808966                                 0.17100075872756187                               763.9446971936849                                 0.5309737969654992                                9.344252271226102E7+895.7259131014172i            52160.22074694425                                 3.2575691585943666E-15                            1.3260385085661655E-25                            9.56401342016353E-12
