d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
2                                                 3.000000000000054                                 3.000000000000054                                 15000.000000000193                                585845.038093171+16.25509052039938i               18020.356065011398                                8.998390491526895E-14
2                                                 2.9999999999999982                                2.9999999999999982                                10000.000000000171                                145895.03603148976+4.052616859434372i             18000.10229092504                                 2.536707718819787E-15
2                                                 2.9999999999999982                                2.9999999999999982                                10000.000000000171                                291817.1454680829+8.105149774525193i              18001.958852460546                                1.4005813796931955E-14
2                                                 2.9999999999999982                                2.9999999999999982                                10000.000000000171                                437794.18950430525+12.165106381389942i            17993.849612938695                                4.019880630943848E-14
2                                                 2.9999999999999982                                2.9999999999999982                                10000.000000000171                                583853.3144985471+14.955957942438562i             19519.087869383544                                8.402000799971541E-14
2                                                 3.0000000000000617                                5.000000000000142                                 20000.000000000346                                146884.61506433372+4.080153434646171i             17999.88865824001                                 2.8264196702051503E-15
2                                                 3.0000000000000617                                5.000000000000142                                 20000.000000000346                                293800.66098624014+8.161153600202878i             17999.946783193845                                1.512678510706096E-14
2                                                 3.0000000000000617                                5.000000000000142                                 20000.000000000346                                440778.5565135109+12.243699984310012i             18000.218768769348                                4.267792581270908E-14
2                                                 3.0000000000000617                                5.000000000000142                                 20000.000000000346                                587849.9983729962+16.33083238020005i              17998.16398476232                                 8.713901869850501E-14
2                                                 3.0000000000000377                                5.00000000000015                                  15000.000000000393                                146341.54010130826+4.065103786694426i             17999.729869174138                                2.7211163046749674E-15
2                                                 3.0000000000000377                                5.00000000000015                                  15000.000000000393                                292709.55164698715+8.130782110070637i             18000.085827195555                                1.474404064689026E-14
2                                                 3.0000000000000377                                5.00000000000015                                  15000.000000000393                                439135.48128343694+12.19811280963349i             18000.14019121937                                 4.184803313956034E-14
2                                                 3.0000000000000377                                5.00000000000015                                  15000.000000000393                                585648.1036645726+16.267821848748337i             18000.200306769555                                8.582499599167574E-14
2                                                 2.9999999999998224                                4.9999999999997815                                9999.999999999845                                 145844.04230842594+4.0511948310337464i            18000.12692443103                                 2.5183613132421465E-15
2                                                 2.9999999999998224                                4.9999999999997815                                9999.999999999845                                 291717.6331439403+8.103322630232029i              17999.877732596495                                1.3970441847620897E-14
2                                                 2.9999999999998224                                4.9999999999997815                                9999.999999999845                                 437645.73845032614+12.155793382427996i            18001.529175501444                                4.020306563854795E-14
2                                                 2.9999999999998224                                4.9999999999997815                                9999.999999999845                                 583656.8092524972+16.258243431281215i             17949.56545334698                                 8.275241637107354E-14
2                                                 5.000000000000023                                 2                                                 20000.00000000019                                 146989.3780938976+4.083381707941314i              17998.48613320109                                 2.9738577365527853E-15
2                                                 5.000000000000023                                 2                                                 20000.00000000019                                 294012.6415715735+8.169124303925319i              17995.35853740776                                 1.573691405505768E-14
2                                                 5.000000000000023                                 2                                                 20000.00000000019                                 441097.1636105863+12.247660396675137i             18007.40506041204                                 4.4039662417513197E-14
2                                                 5.000000000000023                                 2                                                 20000.00000000019                                 588281.1167888545+26.459294037794557i             11116.719817780533                                6.974255848513595E-14
2                                                 4.999999999999849                                 2                                                 14999.999999999662                                146451.23228988837+4.067687948144713i             18001.778179257984                                2.8624317601375434E-15
2                                                 4.999999999999849                                 2                                                 14999.999999999662                                292923.96968145826+8.136724409905609i             18000.11619693316                                 1.5343305154385477E-14
2                                                 4.999999999999849                                 2                                                 14999.999999999662                                439455.95403722784+12.206331783132137i            18001.147348972216                                4.323550504120008E-14
2                                                 4.999999999999849                                 2                                                 14999.999999999662                                586074.6892737878+16.282569521734942i             17996.996373681322                                9.267209354529506E-14
2                                                 4.999999999999973                                 2                                                 9999.999999999813                                 145952.65091895292+4.05421816915242i              18000.098271655475                                2.6451280430226397E-15
