,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
20,1016.3842230197,920.0726108625,100.0000000000054,14.994922429323578,3.197632395196695,647.0508676487216,37.124752709639765,133375.16563999615,55122.72199794266,1.6048978288087574e-13,6.62837894464381e-29,4.3202530907130586e-13,267030.06161283865,55041.667116985154,1.6050393039349595e-13,1.32717794143986e-28,2.5483813035736667e-12,401252.2030242523,54960.26306683797,1.6052890381061812e-13,1.9945933921402525e-28,7.58426451425368e-12,536321.6964258413,54877.77187295017,1.6056240328906085e-13,2.666612665542605e-28,1.6800913892787638e-11
21,89.03183643240484,845.9937622770676,200.0000000000001,26.461129663512192,4.789590958971537,699.1908813361093,10.026724468916752,1882845.1322846124,49605.540443179816,2.2172227523425857e-14,2.744603593973151e-26,8.618143683662683e-12,4142212.318934197,48301.646045239395,2.320081186596861e-14,6.318852495105702e-26,1.127720146545825e-11,7033824.92217907,46777.02097525281,2.3585080746628097e-14,1.0909601315146182e-25,1.3244752413966695e-11,10705836.349761037,45089.67253372632,2.343368085841992e-14,1.650257023438818e-25,1.5723640939492478e-11
22,683.6195786669082,237.8479100763792,99.99999999998968,35.70119209587554,193.3952895342048,428.6002166103411,37.03633063472795,127337.80397168406,14242.902696468866,3.2619632115958654e-14,6.651773853723604e-27,2.309779033630286e-13,254762.31483023532,14214.694203088875,3.2621000306734894e-14,1.3308681088816294e-26,6.677809033789043e-13,382362.1012746383,14186.650487040037,3.262069657734722e-14,1.997419561361792e-26,1.3074062752698106e-12,510224.77968861675,14157.625103698108,3.2622560342278994e-14,2.665701257726188e-26,2.1469125647357226e-12
23,466.3069164334179,255.35433255137573,200.0000000000036,41.73485298641354,201.8851861357872,437.7726321574526,15.949528776110483,167795.4641654025,15277.900538005755,4.2740223855061084e-14,2.400148653691539e-26,3.513053881487308e-13,335976.83347414347,15234.934722925756,4.274383843081837e-14,4.8062738032552416e-26,1.0197743668393244e-12,504928.21000477084,15191.915239359962,4.2754868233029084e-14,7.22517350422698e-26,1.9941981211125717e-12,675032.8454620879,15149.275769429662,4.2757948079621924e-14,9.659838556411712e-26,3.265926511352968e-12
24,273.55271741282326,966.9149799272366,200.00000000000375,42.153985295444166,1.0229895631782742,751.5419833362274,38.566816812381504,545133.7340137241,57868.82073301551,9.065399364931492e-14,6.431084885379853e-28,5.212764885510604e-12,1105901.2775591777,57719.36872666688,9.108881589046605e-14,1.3109247873349945e-27,1.9672733439005743e-11,1697090.1226814867,57562.92723800527,9.163482856043724e-14,2.0237847033418653e-27,2.5073140476492452e-11,2332008.7568987566,57396.01882267923,9.198894693115679e-14,2.7917097732246358e-27,2.994078477548874e-11
25,698.2965532271301,496.5700371190797,149.9999999999871,15.357311153783852,1.1381379836239236,914.2299142199756,32.06147216260279,187268.19816562775,29791.1785146995,8.626297196957955e-14,6.988994653375053e-29,1.2463761830996882e-13,374806.7633565827,29788.100281865773,8.626634343847665e-14,1.3988638130136002e-28,7.341246968799057e-13,562884.5791420641,29785.0389804404,8.627666790366817e-14,2.101064300110942e-28,2.182674373196048e-12,751770.2689850087,29764.816056387168,8.629434331831137e-14,2.808305554257893e-28,4.831279383942303e-12
26,877.8165264567507,269.7218192741314,199.99999999999207,22.52900286577753,0.3736667549237507,778.6889557726345,30.342699456958197,148704.19047658436,16183.343898494035,7.978228410082085e-14,1.9632686190044358e-29,1.0819522395685186e-14,297446.93331833987,16183.188605596855,7.978595752416959e-14,3.92724741625713e-29,6.2952699254069e-14,446268.48769512,16183.104949068847,7.978532505741757e-14,5.892123963927516e-29,1.859118705672692e-13,595208.1025214074,16184.498478338897,7.978337302630926e-14,7.857683835402101e-29,4.0925834890478426e-13
27,502.61521237902,678.6736924201268,200.0000000000014,40.89971263893087,5.5413660490883805,400.53882966749103,19.943422041834022,279831.2826395006,40623.36532636966,1.2096760605142058e-13,1.0070191736174098e-27,1.6600198984896613e-12,560884.0688870677,40525.784861416556,1.2099902544423237e-13,2.018967369644172e-27,4.74139271045122e-12,844373.4241619444,40428.023569973186,1.2104993597280453e-13,3.0406991559505807e-27,9.001445526839399e-12,1131497.7138103868,40332.973008804736,1.2112453209198046e-13,4.076828613867493e-27,1.4133132296612094e-11
28,463.1054962845598,206.95915073156524,199.9999999999964,12.39430696703474,222.23389486317205,472.9650232475289,3.167357593774835,134923.3738754807,12406.084698695522,3.0673433659524153e-14,1.9072814165345068e-26,7.701529365152188e-13,270197.57484157337,12394.886786441808,3.068106612306161e-14,3.820452651375333e-26,2.2324973255622854e-12,406169.9205865467,12383.547150767814,3.0681807175468235e-14,5.743187785913319e-26,4.320958655053265e-12,543187.6603711664,12369.642913778007,3.068910636620193e-14,7.684009528545252e-26,6.9695851222383824e-12
29,1103.5933134660677,263.63572217528053,200.000000000041,39.66511019505939,1.257662763353575,935.1777755190304,22.715201899413515,124316.06293820858,15818.323481455502,1.0478219320903174e-13,4.6961022453934676e-29,2.8000940481691395e-14,248648.1334027386,15817.794533046457,1.0478225072722106e-13,9.392996676733863e-29,1.5385060052925121e-13,373014.864724374,15817.5223744904,1.0478220652656497e-13,1.409114551850048e-28,3.009155884756145e-13,497433.02501317725,15818.279866969231,1.0478349889195376e-13,1.8790279376520525e-28,4.945882875844539e-13
30,145.18744309898497,215.6300382688644,199.9999999999996,20.217890003696127,4.038031137082728,938.0268851295152,22.21233725547802,915680.8187672318,12935.917463442196,1.0150033328640718e-14,7.599871999651348e-27,4.5321658874820844e-13,1837486.929473575,12934.020209862321,1.015695329582824e-14,1.5260993286563263e-26,1.2767559168595292e-12,2771621.081591948,12932.0955077492,1.0167622206676836e-14,2.304352077775236e-26,2.424572106246101e-12,3724438.347043305,12930.122404021107,1.0161988564471104e-14,3.0948237794337903e-26,3.857790279339197e-12
31,798.7965659424523,899.153259396585,150.000000000008,17.352030426263465,1.0732270041481482,641.178164584606,36.73432857729317,166892.17959590326,53920.62524326786,1.791981435489712e-13,5.149281795159319e-29,3.057396884439449e-13,334368.9123409596,53891.8337438914,1.7923192674666697e-13,1.031856570028519e-28,1.8012657082906297e-12,503010.0847887227,53862.93685528846,1.7929033203609714e-13,1.5527876926584844e-28,5.364190244389527e-12,673389.5358718851,53836.89641446214,1.7937018664824025e-13,2.079555103593878e-28,1.1896102931189149e-11
