,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
23,318.7748869465698,697.3338901856443,193.79754946683985,46.33240052656029,0.0471117021709144,559.5592222571734,12.56649510803834,263997391.2930441,657949.5205588924,33619031.10807211,7.817561472227291e-14,3.9172614236185056e-32,1.8690453185837905e-13,1319225.988061247,33440653.588375326,7.820926563640273e-14,7.89962577395129e-32,1.0952359968079833e-12,1987127.9483425613,33147728.802464545,7.824396848863575e-14,1.2009551618077495e-31,3.254856242030616e-12,2664898.5832198416,32944963.004437808,7.829844989371876e-14,1.6216185175927315e-31,7.230475087984273e-12
24,28.705470533622037,232.1097648113361,143.89558382570652,42.192768309171456,1.0487772131231885,123.28990322794075,36.18296760088626,498326784.9892679,9459291.50358604,13814901.2896802,1.7167733569937918e-15,8.262680586222896e-29,1.6732341259139038e-12,19332972.074456587,12831367.374911685,1.731649353376243e-15,1.8339302573478206e-28,2.8656846793050775e-12,29996291.610273954,11605859.773461984,1.7453719769876966e-15,3.170847996764886e-28,3.572378895454403e-12,41760989.46366508,10380558.624377226,1.750695195275529e-15,4.950599242326213e-28,4.16960302215361e-12
25,346.9944650572839,662.3244136597461,132.05582189366908,18.78249530180836,8.55652992679536,497.4529862374444,26.881515569467656,308957905.6807345,608535.1723671686,228095.6650554871,5.1443171333165694e-14,5.386321101036731e-28,3.650565439521532e-12,1219478.0794311827,226817.4217341483,5.145582093430983e-14,1.0857452873084382e-27,1.017048555980793e-11,1835221.6187708513,224739.5838625009,5.147403402845426e-14,1.6496545240831742e-27,1.8607931495625057e-11,2458129.3979144897,221960.527789254,5.15061469406647e-14,2.238638184950148e-27,2.3861009882207804e-11
26,18.571899831247944,794.2208231130312,193.0786420887364,25.63532928100589,0.0423984674366922,176.4976522746629,35.733663258683755,0.0,21788446.27541939,162015.10669442816,3.926384248803445e-15,3.5846298510604435e-27,3.6886190786440335e-12,57193704.58667156,161983.99036456074,4.327602757706761e-15,1.0372997919546032e-26,3.970859489298563e-12,108291754.12969996,161943.11308142063,4.299125526952075e-15,1.9516134310547742e-26,4.188423208625264e-12,173600130.71972677,161798.88659260853,4.273427052804516e-15,3.1126592602200446e-26,4.403529367196524e-12
27,15.44569405114366,184.6803329011279,211.20899121588303,45.44881828483466,4.0416732345295525,269.0832796326846,2.8362343110849126,918829990.8462584,22204286.144071974,12252700.759098817,1.0052678147637258e-15,1.7044190618723942e-27,1.6817381226282226e-12,45809131.88636854,10094473.93624853,1.0184044262776258e-15,4.323926121913156e-27,2.287657421951663e-12,72020668.77883744,7985799.260867648,1.0267548264814641e-15,8.663534914176513e-27,2.804291879138623e-12,101756339.30284892,6302314.172274692,1.0259905879083608e-15,1.5498669546366532e-26,3.2269435591121364e-12
28,200.5545566199525,746.9115608367119,140.72973277462057,13.254269820146488,206.14779608532865,207.8520476281477,3.496423049742292,708692406.3297515,1298977.383674503,79267.40132740258,3.400517020064589e-14,1.5772801027860516e-25,7.477228415456006e-12,2611405.038499379,73259.33766128912,3.404015344097956e-14,3.4344694826952294e-25,1.0815651917586307e-11,3950461.146781426,65253.4694633556,3.4094114214188245e-14,5.8422549033429745e-25,1.4047760398597345e-11,5328804.49111151,56979.24000747094,3.4158130151226685e-14,9.041992161839187e-25,1.7124352355886687e-11
29,10.26642842705837,210.70885349236707,98.93465512250546,10.397308576539135,0.5248373320718746,204.9010697645144,37.09732682574776,619161445.5333446,32826711.32277033,6501813.437835687,3.0727226387997957e-16,4.266241716012939e-28,1.0652340844479829e-12,72850510.67306085,5270481.050018511,3.235438587126111e-16,1.2298290026015126e-27,1.3119695235959106e-12,124254809.3337314,4451785.41583521,3.2596936519805913e-16,2.501986702568613e-27,1.4716763874145578e-12,188666381.3658362,3956177.3577793166,3.245332568870093e-16,4.256054694830632e-27,1.5804902942046456e-12
30,117.43839150279796,689.2096494890963,103.55758849529586,29.54545709786939,0.6542507465120101,106.94402426504696,17.792158834157764,728134428.5244368,2558167.655069906,12178595.31763886,1.5352925812637437e-14,8.448707359783676e-30,7.831614882799235e-12,5162260.706647335,11658900.795581192,1.539057317441232e-14,1.7852721623277282e-29,1.2499316807478413e-11,7856471.211640765,10921771.418590792,1.54441038607433e-14,2.910478975112764e-29,1.6056914740869104e-11,10681802.214249585,10092183.998091375,1.5490978692831434e-14,4.295419073433884e-29,1.934593798335813e-11
31,459.2333296048011,859.0691561736799,135.6776681836833,26.169454089394677,2.870017870035534,169.8054544093077,4.77229911801133,935264185.9802036,683780.4662132423,1064915.9286278605,9.50069942472971e-14,4.584774921618379e-29,4.564874385432716e-12,1368675.6452091127,1058148.9994690905,9.501530525435957e-14,9.23651960021448e-29,1.2848194421935803e-11,2055798.274788354,1047104.1312308478,9.502360360262389e-14,1.4021135779557559e-28,2.3920525723552672e-11,2746257.1576182526,1031848.1954941264,9.503148206774949e-14,1.900876798034475e-28,3.075442844262246e-11
32,110.51612786947078,656.0856674155801,120.08610024454322,42.92122594674126,1.1581826744538006,312.9553469906406,2.0153708833563364,0.0,1503912.1401671339,2345358.2508017407,1.6032086496127995e-14,5.383594488111571e-29,5.53603286822443e-12,3103509.2789718765,2344695.088662435,1.6263684289377506e-14,1.1273392480422935e-28,1.3554921771698783e-11,4881752.340261277,2343278.778030624,1.6434708284459718e-14,1.7930103687538663e-28,2.1464591793351617e-11,6902740.856633294,2340928.293753631,1.647218710343362e-14,2.5436288535343473e-28,2.588233190122754e-11
