,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
3021,11.74971676063606,664.6443595765552,176.13505846914114,28.48681414219038,0.948458039149673,133.73273272443555,32.96580607465379,257364022.7105159,45711841.94313655,39118.60369836776,1.946394906359106e-15,8.629446427135015e-25,2.407875750897594e-12,117743740.08303809,37452.65132492886,2.1418651678457703e-15,2.5547828282839e-24,2.6414647984804303e-12,219241733.99535215,36648.5027863708,2.1225744272612186e-15,4.8176641342896124e-24,2.908363973362956e-12,345905257.5242934,36250.60156706517,2.1024779626260475e-15,7.611670821704073e-24,3.298533550512819e-12
3022,114.60457420572278,676.8889496096123,210.8923758792384,39.93559838314941,0.4307869154567292,118.25857822764944,13.360233216550352,910419912.313725,2807581.6880482957,48573323.70120228,2.8045969549563895e-14,2.9363438548827133e-30,4.992475513493753e-12,5661357.618097601,45972481.79273911,2.8105016613019547e-14,6.269145653727658e-30,7.151428796387719e-12,8605922.383991063,42306015.33315307,2.8189943792726792e-14,1.0387030006663556e-29,9.203788611877284e-12,11682905.260384608,38193710.68873996,2.826918608372932e-14,1.566297227969753e-29,1.1119361673445516e-11
3023,110.25603275519272,927.4254735680812,185.97753010778948,16.19565829637319,0.0516911786176669,195.15935122062024,4.475942529335053,0.0,1433495.635205417,161364106.32548344,2.73345525517471e-14,5.702383121044244e-32,1.5267737197882174e-12,3112614.8914237334,160562069.61485028,2.8500030156500164e-14,1.2974264231487315e-31,9.723848017517606e-12,5202967.191277406,158836231.22386643,2.8803154089994566e-14,2.2156264792767903e-31,1.654821034588003e-11,7791240.335990653,156485093.00782818,2.8753170129349946e-14,3.361819162926944e-31,1.7918055088485988e-11
3024,51.64967944073112,873.4544421194888,192.7322126781793,31.89544373825059,19.76375203260715,486.8165794651355,5.440362986917434,648216261.9970027,6259371.166604516,3662585.8351479447,1.3365517958057876e-14,9.345576498084096e-27,6.0495272495607756e-12,13484568.90857157,2630404.2512142523,1.3890282143477639e-14,2.9134196561000516e-26,7.74207442884195e-12,22336774.62167449,1861523.980628471,1.4037702618154808e-14,6.891682705241964e-26,8.91444718632525e-12,33159772.01025215,1361925.2275736243,1.4003381742201304e-14,1.394982016473486e-25,9.722225181522538e-12
3025,372.3495380117424,544.1357309154059,203.96446308388136,18.37199194873169,0.6622075656783897,223.78207272920392,25.942010478698315,0.0,353561.6440622846,1899867.584186619,6.684772131172771e-14,3.2814379255127256e-30,5.706526919442187e-13,709330.867996947,1899878.2037809903,6.688373387732906e-14,6.586874408967011e-30,3.355414349385057e-12,1069492.283072052,1899871.404349756,6.693447476397328e-14,9.938917429373849e-30,1.0006423113054556e-11,1436186.5639148594,1901958.4988386384,6.69922723394217e-14,1.3343516768832254e-29,1.9997167305881443e-11
3026,230.2169652362514,157.36822176128933,151.7783741104928,43.11439834351272,1.0623692709609227,123.28888498389378,0.0,744681440.9529861,1251178.6885931503,3938215.574543361,1.0492264558211692e-14,3.690058154304756e-30,1.3846665881823866e-13,2502667.2766995323,3935114.6183312777,1.0492388633612474e-14,7.386934050067533e-30,3.8577038792873533e-13,3754777.6791901328,3930409.784520959,1.0492163771065292e-14,1.1095722353806056e-29,7.414355886498077e-13,5007822.171993026,3039310.1978802374,1.049306199194014e-14,1.9139043738188277e-29,1.2057774350160072e-12
3027,144.46255687852684,269.5422121962008,198.34849764400764,40.71856113490014,10.14418059027948,314.6472981063848,18.70767822103841,467606981.3288715,1681463.9303815549,203797.32837352288,1.377353047008719e-14,3.0505910709640288e-27,6.063019930776517e-13,3367533.86723487,202643.43569314416,1.3774882537808326e-14,6.144930676381232e-27,1.7490077916751046e-12,5062797.755713817,200773.5660744649,1.3779017334900935e-14,9.32721406277225e-27,3.381905407118928e-12,6771808.979880783,198237.62328216847,1.378450036500326e-14,1.2640355768032336e-26,5.452899535131764e-12
3029,89.9432742460965,280.89748531516744,185.5726245753412,39.372014418581294,1.4816445842037982,577.6505199179086,19.378195207708828,504191697.9059201,2824193.171237986,2789341.483495063,8.304346204450842e-15,8.504486272546842e-29,1.0012553382135057e-12,5668560.718613906,2748142.8761065225,8.309202537091798e-15,1.7335755183608694e-28,2.78918197732653e-12,8553008.858666644,2683743.570448235,8.317083864630368e-15,2.6810129439188686e-28,5.135700623296092e-12,11496923.817584448,2601685.026150588,8.325607243759269e-15,3.7212837015344334e-28,6.629151225541331e-12
3030,66.89507177398313,786.8861052666749,153.89124901368294,10.465870710258962,0.0618276510808165,301.64711158203863,19.114260744067437,0.0,2603293.393021354,92592942.1355024,1.1113080016559312e-14,2.384061458307505e-31,3.087770066214408e-12,5949213.7896372955,91895156.32944132,1.1826220648126196e-14,5.841854094559364e-31,9.622758144360868e-12,10423895.495814996,90737006.00268611,1.1906763307037672e-14,1.043703398074064e-30,1.052970655193717e-11,16161513.392731398,89172942.79654163,1.1865167587256968e-14,1.6408186261843087e-30,1.1102642257736893e-11
3032,619.7575284485755,945.3621247226276,107.0313864414745,13.638622071214472,24.418673676130613,492.2642283096748,0.0,295655803.2700051,329610.0055435646,116750.78756743707,1.0552286052857972e-13,1.0459449956297234e-27,8.09068865593406e-12,660111.1283146532,116284.20062089282,1.0553416126984304e-13,2.103347979115345e-27,2.3033362760377318e-11,992390.700104924,115520.03070180176,1.055674250711642e-13,3.184029199736789e-27,4.0800810476184045e-11,1327330.24385891,114421.38085291424,1.0561067697407043e-13,4.301316055031801e-27,5.045322759261291e-11
3033,22.059401273294363,104.36848468031953,202.0988835929448,33.9138841994652,1.2665673068732055,462.9105920166396,17.25605490860577,877643071.7992954,14153596.00401229,11399763.94672235,7.910789111602391e-16,1.4118054355390184e-28,8.832520991865165e-13,28465316.771925062,10968525.13872828,7.9156888736960895e-16,2.9528447106498043e-28,2.295907089635384e-12,43089827.97316859,10336242.273308866,7.922420789807948e-16,4.747381047684479e-28,2.956751830995658e-12,58175211.43203023,9579006.812669678,7.928152283515564e-16,6.921075353914332e-28,3.5901274406535884e-12
3034,870.0833105388974,737.6327115221305,109.85805165533012,12.606080509580456,0.6440352210557418,563.4080484701506,17.487607569271844,754007988.4387935,324921.4156754867,24862063.313696302,1.1870557955769932e-13,7.288589943503977e-32,2.4828228226884123e-13,649982.311041314,24823763.465662062,1.1871119865297178e-13,1.4603495444978704e-31,1.4298122538073084e-12,975322.4383987194,24760029.235608976,1.1871334336054906e-13,2.1969886587838364e-31,4.202073937650925e-12,1301081.8174893802,50678934.422330745,1.1870691914282768e-13,1.431806674621829e-31,9.235341270369658e-12
3035,18.87692047238877,882.2403301401997,196.55337042174787,46.19372104545104,4.355002400766891,111.69409708782966,32.05772811232997,929305982.0388416,27804961.745854326,152179.206809874,4.984545327244012e-15,6.146981638418469e-25,4.303346502928456e-12,67041602.08834162,127862.11283935708,5.4050558399376455e-15,1.912811054249976e-24,4.8410968582934754e-12,120903938.75623734,115017.98726109511,5.3934697056162e-15,3.826593328797985e-24,5.219628978243857e-12,188540280.88324955,90344.79470731047,5.349431537476762e-15,7.534909293490044e-24,5.604856982725668e-12
3036,14.200041457115912,779.5737042964928,206.42220673836556,28.17448325578896,0.0605624957189628,420.33178790218943,11.116412306351716,890747867.5517837,40927443.59906658,56747.85823130753,3.209469074744008e-15,3.839424678196209e-26,2.586001528624527e-12,101057346.57447761,50003.65047950558,3.502931261980604e-15,1.1742636261723112e-25,2.931237818637584e-12,184161308.6744935,46822.52357108236,3.482581603462529e-15,2.2720228256557005e-25,3.294927417630961e-12,287640533.1918536,45282.30904939413,3.447140208161203e-15,3.632020423446213e-25,3.805397149701461e-12
3037,340.1417458254284,289.5102848294511,140.6027127337388,23.86603754187885,1.6707882434490158,454.13081686207954,27.518279544976785,987427065.1887472,933039.8105578752,5182000.978513319,2.4328523630477496e-14,3.4935201316070644e-30,4.191970388924884e-13,1866389.6546414949,5174341.743192015,2.4329176784974635e-14,6.998733164556157e-30,1.185947094086838e-12,2800360.5845692293,5161688.813822272,2.4329023562992447e-14,1.0526685032550262e-29,2.289051563753479e-12,3735264.15717223,5472435.4441844085,2.4329566542069344e-14,1.3244020877764648e-29,3.712794070361557e-12
3038,24.357795124901,572.0693046754436,143.8695787602992,19.824135397426595,1.4832358725278325,256.40190138522155,27.930343221537104,925452139.3701336,16085715.221479034,6456309.623522527,2.965182050621833e-15,1.0199642189002669e-27,2.999566410999905e-12,35475550.28096375,4951393.498165144,3.1161243602633737e-15,3.0824357155066425e-27,3.7154794020932346e-12,60121519.43328435,3958807.6278242674,3.1421424725559245e-15,6.588233310649993e-27,4.180293326395697e-12,90783398.73677295,3376603.646023927,3.130145986414845e-15,1.1618993095949855e-26,4.495094657735729e-12
3039,166.245184797851,535.2896904769442,91.4723619495536,14.68151850638304,31.374148503454748,552.7780437930232,10.620144142788105,771161637.7809045,1746036.4171877964,129887.97134433292,1.3925294102501691e-14,1.1735613870975951e-26,5.518967605080011e-12,3502379.1344278986,127248.14927176324,1.3932951363150261e-14,2.4042070990982595e-26,8.970804050798355e-12,5279221.606255022,123145.32129817664,1.394228690986974e-14,3.7471671313397775e-26,1.1704765124067702e-11,7086537.087647623,117758.07205681432,1.3953839471431252e-14,5.264464140901082e-26,1.439383494733129e-11
3040,36.12970854148757,226.6455245529529,147.7665101903936,10.41856806817562,0.0469363890820884,382.7983400530797,12.309719763873897,895661579.324495,8725438.261068903,440514928.2808867,1.881340095257699e-15,7.399765615097586e-32,1.1996638692601333e-12,17632515.62872775,408796704.0386371,1.887151943541195e-15,1.6163588804322635e-31,1.826180093787292e-12,26894862.38257689,367048375.6665758,1.8946634602724198e-15,2.7567801471698965e-31,2.3370058267256813e-12,36671578.996769615,241561587.66130543,1.9013417600198717e-15,5.731733042434287e-31,2.8043612676440503e-12
3041,92.2438949573912,617.5605367822382,154.15179319078007,38.502083938597394,5.551571736253446,238.98557372156435,27.15968661808167,436964480.4522973,2764933.434220462,2011347.9955541568,1.5398025806521388e-14,7.6268722351670495e-28,5.9148717467390965e-12,5624625.2995025255,1908168.9634628636,1.549575979095445e-14,1.6457869285609814e-27,9.365345083739219e-12,8666919.29462201,1769668.2842194366,1.5602653112465182e-14,2.7533112096546896e-27,1.1809910696916259e-11,11967912.425778892,1625110.478075717,1.5664297612406042e-14,4.1565250571653786e-27,1.3927600312180528e-11
3042,156.74877249842635,216.7784566765604,169.18711872800176,24.761671704486904,27.65663135020965,478.4235647931556,12.621609430151716,0.0,829799.9035151133,31474.611012116653,9.734262606175655e-15,1.5953292374340027e-26,4.761883886526028e-13,1664200.7966597027,31473.358421962886,9.739227711677992e-15,3.201263448101545e-26,1.380455727441243e-12,2507763.523437323,31472.003385685017,9.744328176478378e-15,4.8266782740832704e-26,2.684152142237981e-12,3364969.224597199,31470.535759577564,9.751378226060803e-15,6.4815252850238e-26,4.3575584942682e-12
3043,27.144016494872584,682.5673245006178,190.4195600587515,31.927570896965783,10.385037328159545,218.25140173240703,8.302558858518694,0.0,9801314.547272498,1433735.4307992477,5.044991728002657e-15,2.6845956521951794e-26,4.8918965872921695e-12,24714061.82937423,1240185.2429583746,5.510732385513582e-15,8.548108096629854e-26,5.3395219241244816e-12,46168129.25279925,1029206.5458593692,5.501713293183676e-15,1.9210594583611063e-25,5.599890428677459e-12,74120978.58661321,839935.0210226439,5.482117358601273e-15,3.765710230851384e-25,5.797098858395831e-12
3045,61.68821456675418,633.8183477368472,96.6650034275982,11.863482433233257,0.8744401362575658,466.0330597559155,36.67734596194661,0.0,2757813.546181642,8741368.566514978,5.5036357944447575e-15,2.2034546211344842e-29,8.668239710402871e-12,6120319.054782511,8710779.849826572,5.793991878669802e-15,5.166112541296999e-29,1.069115890677894e-11,10452419.280073073,8658338.663331652,5.845505825023807e-15,8.955159118620212e-29,1.1962799360927888e-11,15915125.23399707,8584883.009507999,5.829188632584285e-15,1.3713639994970475e-28,1.2781242373344189e-11
3046,176.40321091591707,598.6015592100292,198.15327654105275,35.391703874102824,0.0328203484142718,456.6765516717414,33.55911431400244,623796962.4470655,1547333.2541249746,187245101.4332648,3.61429523411596e-14,1.739684558302321e-32,3.679021349981545e-13,3106139.514849145,183680431.5941101,3.6165874344833925e-14,3.562300284842914e-32,2.156729477477458e-12,4687730.400346516,178238157.95395434,3.620402287775044e-14,5.546158302493383e-32,6.420115241589701e-12,6303105.141203414,179116020.9682761,3.6245624264677086e-14,7.429322173459406e-32,1.265918697174432e-11
3048,74.94757640823288,235.23202212951688,174.76602104345872,25.08576839342098,7.432710766679351,200.859925773,23.30257241037392,722359005.5745282,3793820.9214918297,814251.8447219564,5.201468564943429e-15,1.771003315620212e-27,1.1133164782327417e-12,7610024.654435567,799084.033098152,5.204148285302698e-15,3.621751041255226e-27,2.993884072548315e-12,11470751.342734689,775500.6946520362,5.2073642482618936e-15,5.628633244138309e-27,3.901469858008384e-12,15397667.154490001,745220.9984305468,5.211276620608857e-15,7.8684518292195e-27,4.794965606615756e-12
3049,25.51883450137633,123.05731777480896,227.1384339486984,11.234542199711228,1.8546916641098132,294.8228373165618,3.148176557907894,266202946.90014264,8056785.96235081,6259601.187155923,1.0778063355963235e-15,2.1819722223915876e-28,1.973704835230028e-12,16357332.482529141,6023570.886011532,1.0829713799663739e-15,4.62560728867017e-28,2.771842847893691e-12,25130218.44811099,5695113.083518665,1.0889546257045427e-15,7.557828263084647e-28,3.501503457055839e-12,34577716.21525503,5332821.077635634,1.0920572596147808e-15,1.1137251485109636e-27,4.1454786570633016e-12
3050,79.09615330959694,982.7526801715818,138.20063187673506,14.219034795559176,21.81648294794145,522.2594256509573,30.803753994926307,212828935.95538253,2861337.777895628,1219926.984600545,1.5593919709508346e-14,7.043813876218892e-27,1.0310202438847589e-11,6237383.423708341,1076922.3912710666,1.6293106417133505e-14,1.8173526813578127e-26,1.3006008056619405e-11,10465350.193060769,949547.3700156416,1.646094876999811e-14,3.493890424483471e-26,1.4791753595434534e-11,15712171.96703809,851815.3265038587,1.6415968609667444e-14,5.831423381733276e-26,1.5970810758194218e-11
3051,371.9717539392311,319.3008150616168,114.89466906436697,13.093497252534826,117.1147009362427,170.05144948932693,0.0,972904765.962082,811787.013650548,240058.246305828,2.2998025980633943e-14,3.635388200887443e-27,1.2959849110776186e-12,1623886.3403172896,239374.5270348246,2.299887502499086e-14,7.293215586153186e-27,3.655979906957351e-12,2436610.882463687,238236.5495595144,2.299898887592609e-14,1.0995659810113972e-26,6.960311119918386e-12,3250274.3267505867,237579.92881112837,2.29985561240992e-14,1.470772847636015e-26,1.1044382147632352e-11
3052,129.11592401713398,574.8825756988743,105.67112655123184,38.0286360048286,93.63877494343474,382.2331317824293,10.070287293715545,915295383.5076352,2428297.6939175874,76093.55190383694,1.535476021958538e-14,1.519975163984651e-25,5.514212214367383e-12,4878226.753341395,73307.4520286205,1.536724458752577e-14,3.172117343867244e-25,1.0948756511761752e-11,7371031.804236317,69189.56705150568,1.5387975094073758e-14,5.085205743310808e-25,1.4218687571134698e-11,9927214.060324429,64337.99298134347,1.541319491469e-14,7.3772063304475525e-25,1.735230932270598e-11
3053,62.66521513786028,211.29575425983987,92.34868891864444,14.87797387687294,6.1295801506891925,511.1585885369557,0.0,462060480.9944559,3905482.54649609,469311.7004925955,2.076898060053045e-15,1.48987362657828e-27,1.176873996582601e-12,7847226.889991098,460843.525342889,2.078655345606884e-15,3.051168121831912e-27,2.744471022761718e-12,11860850.068896964,447719.0580930859,2.0815003752001588e-15,4.753436103890698e-27,3.5664473578460695e-12,15980731.22667944,431181.8416954663,2.085135416125085e-15,6.661796795803915e-27,4.351778899632784e-12
3054,11.596737507729252,510.12843682594047,139.14922852575916,12.375064508120786,1.3024963930059734,214.36003563979747,33.985360307391495,220008819.81817183,38100040.42819145,146013.8068001082,1.102573858239441e-15,1.5388183382645507e-25,1.895834958153747e-12,97725647.87663025,137924.6364521738,1.2105622278891424e-15,4.58777360615355e-25,2.068459649107641e-12,182813593.8261289,133648.997063168,1.203591169746561e-15,8.805822444286707e-25,2.2154667569896085e-12,291127895.41121936,132557.0875626943,1.1954734913225386e-15,1.40432933199589e-24,2.3889723272341985e-12
3055,717.8696488819648,469.06878098858266,127.6910966430397,39.12643447909524,0.1244178892124227,528.3411217448148,2.47064549529592,335098798.6623971,310884.41450365016,21854573.01254326,8.322196227706434e-14,1.5784451509065606e-32,3.8787350817926304e-14,621887.3584724328,21843581.891148087,8.322542059431428e-14,3.159212152776907e-32,2.2047330865243707e-13,933124.2296986324,21825963.605660845,8.322631206074504e-14,4.744184928797127e-32,6.435887504209812e-13,1244712.8095535694,24371612.576932058,8.322317232625407e-14,5.667141790268757e-32,1.4102566181764128e-12
3056,53.17585364434069,701.3419742965779,168.73283704064207,28.984553878099486,9.89826950976734,104.54760996303432,19.7747663686644,213186187.25374523,4420553.842936157,2985301.800330588,9.623742362882322e-15,2.754901258972253e-27,6.456864295567857e-12,9642533.768580839,2601162.537533779,1.0057151364523712e-14,7.207294562348391e-27,8.133985881117679e-12,16188177.743193028,2231025.6169663244,1.0158325227806095e-14,1.424915556787582e-26,9.247024324215628e-12,24313116.724743653,1926327.9656904344,1.0135866070565244e-14,2.4731182175037672e-26,9.986071401386375e-12
3057,31.392976169281457,574.0561821124862,90.19271824797498,47.242512712113765,0.2688406250167112,112.13474721348382,21.480853860525198,531009910.2319969,10261160.432185907,21061535.63045649,3.166868176010716e-15,2.3243933282276666e-29,7.265089016097781e-12,22124271.774198737,18234260.023273945,3.292933779104912e-15,6.019175801515123e-29,9.271473544467202e-12,36675649.20446192,15889133.56386714,3.327361887504359e-15,1.1570465237390382e-28,1.0652950841064836e-11,54468083.81654336,14270264.469048643,3.3184720805196042e-15,1.9081891977610021e-28,1.1596649584553168e-11
3058,38.49423692051439,173.03058702953817,93.55788988859058,17.175190982180926,25.77041702044252,115.79787582758908,28.371386189870957,0.0,3727231.3891647463,58675.08900944502,1.0254459062474089e-15,6.256315534062794e-26,1.0691416965335179e-12,7649264.930102114,58664.39907004512,1.0368765998247897e-15,1.2985104245816756e-25,2.7212002679840345e-12,11939789.487650141,58646.565142779815,1.0464025591860649e-15,2.0460967820444627e-25,4.011509851639439e-12,16739542.553081997,58619.4939036104,1.0497939121306192e-15,2.8792465929175937e-25,4.645991960621206e-12
3059,12.228806419336989,296.67142505866184,212.01411165650052,45.02522893674842,171.2763845820799,591.9889901156671,23.977871311007338,390969119.064932,24988380.373461083,344192.7978604795,1.162780023543368e-15,5.3395728009964665e-24,2.106468860415225e-12,58962343.051151164,189545.8506657152,1.2479411902003645e-15,2.455427929998113e-23,2.4607345373193066e-12,105647417.14329964,115709.22712629563,1.2478889687621657e-15,7.206750009783656e-23,2.706000856731132e-12,165700244.84243855,81312.6957073662,1.237773501503384e-15,1.5954330799310043e-22,2.9190365367486705e-12
3060,53.7774035613653,658.2946656701802,92.32508036718345,18.47632027211308,19.989494505421,273.5006385733781,6.228420060670032,349780190.7378266,4767522.915056145,906753.8850294984,5.214928747241389e-15,1.0466396150410921e-26,7.574077270048539e-12,10136999.004392335,801159.1219506126,5.382406862593792e-15,2.5996361707494765e-26,9.888661079741775e-12,16554396.109872853,702982.9252971864,5.444412168541643e-15,4.894011523817192e-26,1.1569172949361048e-11,24286095.545725185,628881.8916885605,5.437629715129347e-15,8.015740803383629e-26,1.2745319084672807e-11
3061,10.124042729871483,359.267875669248,147.66117889950726,20.11296668208797,0.0106567738275766,398.0710788275414,0.0,434994167.33834106,39853195.2276954,327826.7343917789,7.56309436752306e-16,5.279336958350036e-28,1.4962690099807208e-12,97385921.24667013,289896.35889507574,8.208678599011937e-16,1.5833894674618305e-27,1.6927069999541034e-12,177940772.80067906,270560.0440529416,8.188258240318384e-16,3.0921775736770083e-27,1.8359804891567817e-12,281038827.96840936,260832.0386568435,8.1277782037920195e-16,5.028498411977825e-27,1.977884001666214e-12
3062,296.8383647007345,444.9011228697156,186.08828569840904,47.08091267804989,4.728931358339073,103.2892831435999,36.380814756348826,664944365.5550985,933038.9687624999,392294.19580775977,4.5607554834297734e-14,3.21507354907305e-28,8.482372065935338e-13,1867301.7007883699,390897.72238918615,4.561215921353197e-14,6.458002485552446e-28,2.441681706683236e-12,2804010.7941448563,388598.69177148433,4.561117929540289e-14,9.75474389200831e-28,4.723200917395433e-12,3744386.699187867,385460.160826976,4.5618662167963374e-14,1.313439169934684e-27,7.603962717773686e-12
3063,167.65067278162655,699.77733358921,197.0467498374763,35.24409444008779,8.55447218895221,462.3494062626746,27.978485257187454,800613213.9274366,1791635.3133029458,1226587.1540596872,3.9793591492056556e-14,9.7699025227813e-28,5.452158274358611e-12,3599926.6722053937,1190673.4135064064,3.9827864688777345e-14,2.024015866898491e-27,8.782608261100761e-12,5441222.8584954105,1136305.521333983,3.9883365320366476e-14,3.2101038687434178e-27,1.1411343548490904e-11,7331283.499599081,1070228.6919152366,3.9954116932144046e-14,4.6003497602615396e-27,1.392553434892631e-11
3064,215.46331679972243,673.0421684563725,128.7251266169933,36.290415516252,5.776820999051737,204.0005171963043,0.0,0.0,702888.2135881496,163603.27857647903,3.399208201188644e-14,1.0035927767410816e-27,3.5633129537772267e-12,1420202.839577682,163601.65875003964,3.409561197511662e-14,2.0339799455179065e-27,9.726709993695627e-12,2165782.2015420734,163596.47758959897,3.4232703459944955e-14,3.114350818677437e-27,1.7495965289743734e-11,2952395.823792562,163583.23758676706,3.4359251734388274e-14,4.261524435095287e-27,2.5798728130122816e-11
3065,44.060139168678,396.46801260014377,89.75686522041835,20.71204851378501,1.4877973129616864,491.4597347381909,13.660269483829216,506422826.0902288,6224527.032466159,8131522.393206749,2.6631294516656144e-15,8.62823742980395e-29,3.8333091294477795e-12,12794507.708018312,7455071.343231907,2.6957265973648282e-15,1.958136373906641e-28,5.283252461354959e-12,20013884.322026886,6663979.881782208,2.7215235269995986e-15,3.459434529494845e-28,6.520275026999474e-12,28122809.11583264,5945696.491367852,2.729744888703534e-15,5.4647882597064735e-28,7.522989331437798e-12
3066,213.64713909161588,723.7511869092142,95.74525023539056,11.140791876619442,24.673671832236565,528.2896754757921,0.0,273178576.90427244,955474.4938746813,108663.2784642289,2.4105495462519317e-14,6.3275451323886154e-27,1.1231357798753742e-11,1924385.4749912783,106678.25790826144,2.414495925643877e-14,1.30024600219889e-26,1.6170526207844197e-11,2919799.444729514,103651.36017778076,2.4203809388778115e-14,2.035375933656008e-26,2.0888546548928088e-11,3954088.607228916,99917.94917857996,2.4266954582331967e-14,2.866824173790134e-26,2.5353993025263168e-11
3067,215.11570551995527,512.1922147076319,203.1517448065108,35.4524093355853,255.55723446185624,302.0791180835449,38.09166515129196,0.0,261581.79496976096,4026.450020686676,3.5589589093751323e-14,7.05172545122407e-25,1.3538070313957474e-11,549447.030957189,4026.190290909824,3.647163254064215e-14,1.5180076351704341e-24,2.2516456728729867e-11,884595.748642674,4025.667071851999,3.690590367433813e-14,2.473375502662237e-24,2.6843627057160152e-11,1281315.1003288254,4024.843941071833,3.692054273752666e-14,3.5847774074261715e-24,2.996759353310963e-11
3068,234.3751374069716,815.9804759101975,93.72079408035512,45.05948275268627,3.2081534128899114,248.34074740363667,31.48674469145371,614620890.2637699,1209062.5220278183,723106.4530580099,3.800557314485567e-14,2.049600087642616e-28,5.404433644821242e-12,2425777.635627067,713902.5330212312,3.8027124616256596e-14,4.167550541107275e-28,1.5769930821015124e-11,3657706.0838260064,699356.0044448825,3.8057545502701534e-14,6.419875332621018e-28,3.0250296565134585e-11,4912230.1534108445,680473.1190035477,3.809245571139404e-14,8.869150546512286e-28,4.3540323112661817e-11
3069,32.38783778564827,999.773967380642,179.94564132108022,45.4206658323481,48.658432693976806,392.91973753303154,14.319854632040927,0.0,9340199.04629127,579390.5288519997,8.821030844552954e-15,3.6428522714115175e-25,8.037217605487725e-12,24040962.337351415,447832.6432996513,9.679150364741391e-15,1.3311004093378644e-24,8.592308420126342e-12,45320087.82087498,335803.5588436444,9.647478769120874e-15,3.335467850177396e-24,8.923170702785112e-12,72927804.31395842,218200.85924279256,9.610518132311871e-15,8.228505491424996e-24,9.212465723694616e-12
3070,12.149211178842638,876.4478478485601,99.81059717644148,10.593685772401344,0.011969037906089,144.71944439997674,20.784886099607217,609265704.9429126,56483095.00706823,29479.429627700552,1.4479577206425674e-15,1.2424005780011956e-26,3.1503896704705097e-12,143454445.60473505,27756.009117377573,1.596239380124334e-15,3.69454844089802e-26,3.3598724739839788e-12,262889403.58208779,26973.004990479792,1.5796868280654005e-15,6.894790897322902e-26,3.543452636489729e-12,359553955.1099696,25876.023132238224,6.062619766043393e-16,3.7725345433580296e-26,7.001993068673694e-12
3071,200.0330235146888,350.50567904452777,214.51108045678265,47.82483002392031,6.029148842132449,207.4676898801184,39.40980436194429,827204266.9495167,1497166.4229110884,469504.82090209046,2.7292050976713514e-14,7.242059307632428e-28,7.204481336416202e-13,2996656.270243592,466943.29406462616,2.7294282977480304e-14,1.4576067073810015e-27,2.0693808962914928e-12,4500789.54551806,462774.0629794356,2.7295570039083363e-14,2.2090611864609238e-27,3.988061998120184e-12,6011879.089547701,456699.6896976254,2.7297728421283022e-14,2.9902115207567996e-27,6.38770552795212e-12
3072,163.16186691873884,446.3381111082463,104.13587120535394,42.08593344713079,0.4249840155838943,507.6980391520458,30.93647494776538,872015081.9978095,1935640.4850050553,5379763.220928087,1.5462213002810396e-14,4.904691829985621e-30,1.5640560277200233e-12,3877414.621574565,5328742.230580424,1.54653367660428e-14,9.921000021705684e-30,4.425465909323926e-12,5831423.303743106,5246404.632914333,1.5468678531678777e-14,1.515809195097909e-29,8.338405044253385e-12,7803702.905001599,5144006.522963162,1.5474327717215115e-14,2.069614909805145e-29,1.2967847762366428e-11
3073,153.45238629469668,550.914281740577,116.52894369529018,41.36913717732867,3.118233679969057,552.5852088722471,25.991706878503244,318838082.104325,1494089.237967957,707999.4202138189,1.9110527342925244e-14,2.949313549218169e-28,2.799573723022446e-12,3004731.114705969,699095.6027031925,1.913258740483732e-14,6.013777959383945e-28,7.650075233452067e-12,4548120.513534141,685165.8515965391,1.916588415794168e-14,9.304001081067594e-28,1.3715851975210393e-11,6139772.375390578,667333.3234518638,1.9203554285662355e-14,1.292098776273884e-27,2.0145999755364443e-11
3075,259.378041649243,926.8329794208826,181.6430230131052,49.09842249770132,0.1178383817099836,218.15036801232384,8.07797983129836,864420245.0047799,1204517.1919303283,56031102.85046779,8.083885292175922e-14,1.6809995783418292e-31,1.819970821705236e-12,2416188.0237620114,54991381.10298912,8.08834888255635e-14,3.4376337609306726e-31,1.0643586383424015e-11,3642085.3531484683,53358680.962670535,8.093879867829606e-14,5.3439873094606356e-31,2.1085691259292884e-11,4889124.657551287,60217602.27438577,8.100639899549135e-14,6.3619552245368195e-31,2.5903307582399592e-11
3076,37.93673188742581,691.8779925489356,152.28068943087092,47.40785342570732,0.0915275896899697,377.8991304400105,34.223348778765846,610778280.3927693,8690480.546632268,22360125.678547103,6.795793811030508e-15,9.276522756599177e-30,5.866704761921008e-12,18783450.694114927,18845988.17732358,7.074463994881166e-15,2.4764266820503336e-29,7.465083388066262e-12,31218738.628514387,16114575.96101097,7.147033891731599e-15,4.8629273391644754e-29,8.56108525350804e-12,46465752.85393096,14326812.66174503,7.126775878170821e-15,8.11805457525322e-29,9.311247524216749e-12
